num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-156.27008,0.50425,0.6742,73.0,20.47141,-156.61073,0.6742,-156.67766,0.70109,-0.03084,0.97535,0.0003,0.99009,0.0,0.0,-0.99026,0.99026,0.0,0.0043,-5.0,32
1,-148.30829,0.04103,0.73825,320.0,91.76142,-148.30319,0.73825,-148.31306,1.13899,0.00084,0.62226,0.00228,0.41298,0.0,0.0,-0.92606,0.92606,0.0,0.00498,-5.0,32
2,-150.9334,7.49849,0.65379,463.0,130.37213,-156.4865,0.65379,-156.45793,0.63123,-0.03148,0.97535,0.00033,0.99009,0.0,0.0,-0.99123,0.99123,0.0,0.00418,-5.0,32
3,-156.38168,0.35324,0.74155,78.0,21.29364,-156.66187,0.74155,-156.70935,0.83683,-0.0309,0.9789,0.00032,0.98949,0.0,0.0,-0.98974,0.98974,0.0,0.00473,-5.0,32
4,-150.53545,3.83442,0.69142,220.0,56.80417,-156.63519,0.69142,-156.61563,0.85975,-0.02923,0.95826,0.00049,0.98589,0.0,0.0,-0.98774,0.98774,0.0,0.00441,-5.0,32
5,-148.44725,0.04207,0.68915,665.0,181.03511,-148.45334,0.68915,-148.42508,1.26604,-0.00135,0.47606,0.00218,0.26033,0.0,0.0,-0.92645,0.92645,0.0,0.00464,-5.0,32
6,-150.84151,3.89964,0.72177,236.0,62.41476,-156.56793,0.72177,-156.62489,1.10702,-0.0291,0.97619,0.00039,0.98783,0.0,0.0,-0.98897,0.98897,0.0,0.00461,-5.0,32
7,-148.29691,0.04746,0.72184,302.0,84.63132,-148.31883,0.72184,-148.25639,1.01118,-0.00232,0.51019,0.0023,0.2912,0.0,0.0,-0.92368,0.92368,0.0,0.00487,-5.0,32
8,-148.39552,0.03701,0.71184,475.0,126.79428,-148.36859,0.71184,-148.3654,0.77385,-0.00135,-0.35,0.00225,0.10239,0.0,0.0,-0.92619,0.92619,0.0,0.0048,-5.0,32
9,-156.53918,0.1684,0.51615,81.0,21.79546,-156.66762,0.51615,-156.66335,0.70955,-0.03039,0.97245,0.00038,0.98804,0.0,0.0,-0.98839,0.98839,0.0,0.00329,-5.0,32
0,-153.16046,0.6069,0.62023,73.0,19.97396,-153.56012,0.62023,-153.59456,0.62261,-0.03103,0.97297,0.00033,0.98925,0.0,0.0,-0.98942,0.98942,0.0,0.00404,-4.9,32
1,-145.45009,0.0413,0.6933,332.0,89.47384,-145.45413,0.6933,-145.42412,0.74847,0.00297,0.61458,0.00239,0.41386,0.0,0.0,-0.92535,0.92535,0.0,0.00477,-4.9,32
2,-148.62732,7.08435,0.51708,500.0,135.05561,-153.39972,0.51708,-153.38329,0.40343,-0.0311,0.97368,0.0003,0.99059,0.0,0.0,-0.99129,0.99129,0.0,0.00337,-4.9,32
3,-153.32964,0.35332,0.67524,80.0,22.5458,-153.60373,0.67524,-153.62576,0.78339,-0.03013,0.96832,0.00038,0.98733,0.0,0.0,-0.98806,0.98806,0.0,0.0044,-4.9,32
4,-147.98573,3.90812,0.74209,219.0,58.20204,-153.60078,0.74209,-153.56262,0.87669,-0.03,0.98252,0.00049,0.98539,0.0,0.0,-0.98677,0.98677,0.0,0.00483,-4.9,32
5,-145.5947,0.04043,0.71722,699.0,198.40147,-145.54335,0.71722,-145.63622,2.03227,-0.00097,0.46845,0.00216,0.25049,0.0,0.0,-0.92432,0.92432,0.0,0.00493,-4.9,32
6,-148.08264,3.89462,0.67853,214.0,56.4571,-153.59373,0.67853,-153.56377,0.6081,-0.03065,0.97,0.00044,0.9871,0.0,0.0,-0.98845,0.98845,0.0,0.00442,-4.9,32
7,-145.54228,0.04322,0.71067,451.0,126.42005,-145.56819,0.71067,-145.57321,1.20983,-0.0009,0.51161,0.0023,0.29692,0.0,0.0,-0.92258,0.92258,0.0,0.00488,-4.9,32
8,-145.43666,0.04368,0.72373,289.0,78.27002,-145.53166,0.72373,-145.52112,1.59137,-0.00206,-0.33948,0.0022,0.09655,0.0,0.0,-0.92348,0.92348,0.0,0.00497,-4.9,32
9,-153.4729,0.17199,0.49714,81.0,22.17429,-153.60257,0.49714,-153.60805,0.70148,-0.03019,0.97006,0.00041,0.98696,0.0,0.0,-0.98735,0.98735,0.0,0.00324,-4.9,32
0,-149.71158,1.64719,0.59656,89.0,24.72754,-150.55841,0.59656,-150.54604,0.58986,-0.0309,0.96639,0.00042,0.98757,0.0,0.0,-0.98832,0.98832,0.0,0.00396,-4.8,32
1,-142.61494,0.03917,0.69603,339.0,91.02614,-142.61342,0.69603,-142.56187,1.03566,0.00335,0.60116,0.00243,0.38477,0.0,0.0,-0.92652,0.92652,0.0,0.00488,-4.8,32
2,-142.1933,7.57093,0.66238,456.0,123.82526,-150.30502,0.66238,-150.30702,1.14294,-0.03116,0.96497,0.00036,0.98851,0.0,0.0,-0.98942,0.98942,0.0,0.00441,-4.8,32
3,-150.2532,0.34932,0.70007,76.0,20.99636,-150.51509,0.70007,-150.50281,0.8553,-0.03161,0.96219,0.00043,0.98673,0.0,0.0,-0.98742,0.98742,0.0,0.00465,-4.8,32
4,-145.20036,3.85351,0.69106,198.0,52.03589,-150.52643,0.69106,-150.51088,0.94822,-0.02955,0.97406,0.00048,0.9841,0.0,0.0,-0.98581,0.98581,0.0,0.00459,-4.8,32
5,-142.73529,0.03653,0.67336,669.0,184.11733,-142.73154,0.67336,-142.76994,1.52027,-0.00148,0.43323,0.00228,0.21701,0.0,0.0,-0.92432,0.92432,0.0,0.00472,-4.8,32
6,-144.7858,3.7093,0.69306,206.0,54.65919,-150.48769,0.69306,-150.49623,0.87754,-0.02955,0.97303,0.00045,0.98576,0.0,0.0,-0.98742,0.98742,0.0,0.00461,-4.8,32
