num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-35.44537,0.04651,0.15031,551.0,189.01534,-35.50765,0.15031,-35.49799,0.21939,-0.13743,0.97286,0.00206,0.98406,0.8731,0.8731,-0.986,0.986,0.0,0.00423,-5.0,8
1,-35.44553,0.0396,0.17395,561.0,192.14023,-35.50643,0.17395,-35.46526,0.64524,-0.13743,0.97229,0.00156,0.98456,0.82711,0.82711,-0.98771,0.98771,0.0,0.0049,-5.0,8
2,-35.42867,0.05168,0.1754,564.0,194.90995,-35.49627,0.1754,-35.46262,1.02767,-0.13743,0.97514,0.00181,0.98281,0.8962,0.8962,-0.98571,0.98571,0.0,0.00494,-5.0,8
3,-35.48251,0.02186,0.14048,649.0,221.43305,-35.50054,0.14048,-35.44546,0.85889,-0.13886,0.97314,0.00188,0.98312,0.87235,0.87235,-0.98486,0.98486,0.0,0.00396,-5.0,8
4,-35.46563,0.03142,0.07214,566.0,190.21903,-35.50238,0.07214,-35.46712,0.69014,-0.138,0.97743,0.00206,0.98306,0.85066,0.85066,-0.98571,0.98571,0.0,0.00203,-5.0,8
5,-35.47087,0.02444,0.15422,596.0,202.14971,-35.49847,0.15422,-35.46609,0.62122,-0.134,0.96714,0.00231,0.98181,0.85162,0.85162,-0.984,0.984,0.0,0.00434,-5.0,8
6,-35.47901,0.02018,0.17704,649.0,220.74357,-35.49508,0.17704,-35.44445,1.12995,-0.138,0.966,0.00244,0.97819,0.84777,0.84777,-0.97971,0.97971,0.0,0.00499,-5.0,8
7,-35.47754,0.01975,0.0774,597.0,202.17349,-35.50181,0.0774,-35.48013,0.71908,-0.13657,0.96229,0.00263,0.97737,0.83649,0.83649,-0.98057,0.98057,0.0,0.00218,-5.0,8
8,-35.48189,0.02056,0.12006,611.0,206.06835,-35.49268,0.12006,-35.4626,0.65043,-0.13943,0.964,0.00225,0.98125,0.85114,0.85114,-0.98286,0.98286,0.0,0.00338,-5.0,8
9,-35.47365,0.02208,0.13299,601.0,203.56343,-35.499,0.13299,-35.47868,0.50893,-0.13914,0.97571,0.00156,0.98681,0.88947,0.88947,-0.98829,0.98829,0.0,0.00375,-5.0,8
0,-34.77969,0.026,0.15589,543.0,186.50618,-34.80536,0.15589,-34.812,0.18841,-0.13629,0.96429,0.00244,0.98219,0.8731,0.8731,-0.98514,0.98514,0.0,0.00448,-4.9,8
1,-34.77148,0.02202,0.1164,590.0,201.57842,-34.81176,0.1164,-34.77868,0.56835,-0.13829,0.97657,0.00175,0.98475,0.82711,0.82711,-0.98657,0.98657,0.0,0.00334,-4.9,8
2,-34.78163,0.02505,0.14517,604.0,204.46533,-34.80974,0.14517,-34.78877,1.06457,-0.13543,0.96857,0.00213,0.98313,0.8962,0.8962,-0.98514,0.98514,0.0,0.00417,-4.9,8
3,-34.78914,0.02595,0.12402,631.0,215.69167,-34.80827,0.12402,-34.80977,0.60373,-0.13543,0.95257,0.00288,0.97637,0.87235,0.87235,-0.97971,0.97971,0.0,0.00356,-4.9,8
4,-34.77126,0.03251,0.09509,566.0,192.05756,-34.8125,0.09509,-34.80121,0.37384,-0.138,0.97971,0.00206,0.98481,0.85066,0.85066,-0.98629,0.98629,0.0,0.00273,-4.9,8
5,-34.78059,0.02135,0.1715,628.0,213.58768,-34.81209,0.1715,-34.82335,0.38493,-0.13371,0.96514,0.00238,0.98337,0.85162,0.85162,-0.98571,0.98571,0.0,0.00493,-4.9,8
6,-34.77961,0.02696,0.16872,627.0,213.15355,-34.8124,0.16872,-34.7631,0.70685,-0.13914,0.97114,0.00231,0.97956,0.84777,0.84777,-0.98171,0.98171,0.0,0.00485,-4.9,8
7,-34.78551,0.02225,0.08252,556.0,186.87697,-34.81582,0.08252,-34.78751,0.58748,-0.13657,0.96629,0.00263,0.97987,0.83649,0.83649,-0.98257,0.98257,0.0,0.00237,-4.9,8
8,-34.79466,0.01959,0.17077,599.0,200.6391,-34.80446,0.17077,-34.78689,0.51471,-0.13686,0.97857,0.00219,0.98319,0.85114,0.85114,-0.98457,0.98457,0.0,0.00491,-4.9,8
9,-34.78999,0.01704,0.14343,601.0,201.36094,-34.80729,0.14343,-34.78985,0.48372,-0.13857,0.97343,0.00169,0.98594,0.88947,0.88947,-0.98743,0.98743,0.0,0.00412,-4.9,8
0,-34.09288,0.02363,0.15624,551.0,185.80551,-34.12425,0.15624,-34.12061,0.21641,-0.13743,0.97229,0.00219,0.98319,0.8731,0.8731,-0.98486,0.98486,0.0,0.00458,-4.8,8
1,-34.07188,0.029,0.15049,580.0,198.1378,-34.13112,0.15049,-34.09624,0.85457,-0.13543,0.96743,0.002,0.98425,0.82711,0.82711,-0.98657,0.98657,0.0,0.00441,-4.8,8
2,-34.0526,0.04262,0.16375,564.0,192.37535,-34.12449,0.16375,-34.09018,0.5969,-0.13486,0.97143,0.00213,0.98113,0.8962,0.8962,-0.98543,0.98543,0.0,0.0048,-4.8,8
3,-34.10367,0.02252,0.15428,656.0,221.20223,-34.12185,0.15428,-34.10247,0.43176,-0.13457,0.96943,0.00219,0.98244,0.87235,0.87235,-0.98514,0.98514,0.0,0.00452,-4.8,8
4,-34.05393,0.04982,0.09199,538.0,183.69598,-34.11966,0.09199,-34.08901,0.68304,-0.13886,0.97086,0.00225,0.979,0.85066,0.85066,-0.98143,0.98143,0.0,0.0027,-4.8,8
5,-34.09994,0.01917,0.17022,628.0,213.55505,-34.12021,0.17022,-34.12346,0.1228,-0.13371,0.96457,0.0025,0.9825,0.85162,0.85162,-0.98486,0.98486,0.0,0.00499,-4.8,8
6,-34.07563,0.02857,0.13963,612.0,207.43038,-34.12434,0.13963,-34.0774,0.76575,-0.13657,0.96686,0.00263,0.97712,0.84777,0.84777,-0.98057,0.98057,0.0,0.00409,-4.8,8
7,-34.09601,0.02302,0.09695,556.0,188.65691,-34.12882,0.09695,-34.11098,0.58047,-0.13543,0.96571,0.00287,0.97862,0.83649,0.83649,-0.98057,0.98057,0.0,0.00284,-4.8,8
8,-34.10721,0.0166,0.09722,609.0,205.91984,-34.11917,0.09722,-34.10823,0.35379,-0.134,0.95686,0.00281,0.97881,0.85114,0.85114,-0.98171,0.98171,0.0,0.00285,-4.8,8
9,-34.09952,0.01968,0.1243,601.0,202.18877,-34.11718,0.1243,-34.1008,0.45866,-0.13886,0.97314,0.00175,0.9855,0.88947,0.88947,-0.98686,0.98686,0.0,0.00364,-4.8,8
0,-33.39816,0.02351,0.16057,543.0,188.12578,-33.42438,0.16057,-33.435,0.21847,-0.13657,0.964,0.0025,0.98175,0.8731,0.8731,-0.98457,0.98457,0.0,0.0048,-4.7,8
1,-33.4098,0.03431,0.14038,604.0,224.67822,-33.43111,0.14038,-33.41175,0.47373,-0.136,0.96343,0.0025,0.981,0.82711,0.82711,-0.98314,0.98314,0.0,0.0042,-4.7,8
2,-33.40673,0.02793,0.13517,604.0,223.28118,-33.42987,0.13517,-33.41804,1.12061,-0.13486,0.96457,0.00225,0.98225,0.8962,0.8962,-0.98457,0.98457,0.0,0.00404,-4.7,8
3,-33.41927,0.02149,0.15016,631.0,228.44326,-33.4271,0.15016,-33.41669,0.41074,-0.13429,0.94971,0.00325,0.97425,0.87235,0.87235,-0.97743,0.97743,0.0,0.00449,-4.7,8
4,-33.39388,0.03255,0.08617,566.0,189.2764,-33.4331,0.08617,-33.42362,0.3465,-0.13771,0.97943,0.00212,0.98438,0.85066,0.85066,-0.98571,0.98571,0.0,0.00258,-4.7,8
5,-33.4115,0.01754,0.08957,653.0,222.86806,-33.43162,0.08957,-33.4257,0.69742,-0.14029,0.97743,0.00156,0.98681,0.85162,0.85162,-0.98714,0.98714,0.0,0.00268,-4.7,8
6,-33.40954,0.0192,0.14187,588.0,199.40007,-33.42923,0.14187,-33.47932,1.68655,-0.13486,0.96,0.00337,0.97687,0.84777,0.84777,-0.97829,0.97829,0.0,0.00424,-4.7,8
7,-33.40545,0.02336,0.14198,556.0,187.02009,-33.43685,0.14198,-33.41856,0.5379,-0.13514,0.96543,0.00294,0.97819,0.83649,0.83649,-0.98029,0.98029,0.0,0.00425,-4.7,8
8,-33.41324,0.01571,0.13987,611.0,206.26133,-33.42487,0.13987,-33.42253,0.34849,-0.13857,0.95971,0.00269,0.97969,0.85114,0.85114,-0.98114,0.98114,0.0,0.00418,-4.7,8
9,-33.40616,0.02405,0.1601,596.0,202.34952,-33.43494,0.1601,-33.43349,0.09681,-0.13686,0.97457,0.00219,0.98469,0.88947,0.88947,-0.98486,0.98486,0.0,0.00479,-4.7,8
0,-32.71145,0.02455,0.14363,543.0,183.71793,-32.73856,0.14363,-32.74454,0.17549,-0.13657,0.964,0.0025,0.98175,0.8731,0.8731,-0.98457,0.98457,0.0,0.00439,-4.6,8
1,-32.72226,0.02029,0.16242,588.0,199.63803,-32.74344,0.16242,-32.73366,0.46914,-0.13857,0.97171,0.00194,0.98269,0.82711,0.82711,-0.98571,0.98571,0.0,0.00496,-4.6,8
2,-32.71992,0.02073,0.15569,616.0,210.43158,-32.7418,0.15569,-32.73022,0.52998,-0.13343,0.97,0.00269,0.97994,0.8962,0.8962,-0.982,0.982,0.0,0.00476,-4.6,8
