epoch, energy, energy_std, energy_window, rel_error, time
93,-3.99251,0.16678,-3.99918,0.00520,0.00374,1.67427
94,-4.00342,0.17684,-3.99937,0.00517,0.00102,1.63032
95,-4.00383,0.17379,-3.99947,0.00521,0.00092,1.61390
96,-4.00897,0.17247,-3.99954,0.00531,0.00037,1.63559
97,-4.00944,0.17105,-3.99970,0.00549,0.00048,1.65370
98,-4.00150,0.17434,-3.99962,0.00543,0.00150,1.63168
99,-4.00164,0.17108,-3.99973,0.00541,0.00146,1.67359
100,-4.00535,0.17385,-3.99968,0.00536,0.00054,1.59337
101,-3.99588,0.17106,-3.99971,0.00533,0.00290,1.60475
102,-4.00410,0.17004,-3.99978,0.00537,0.00085,1.61282
103,-3.99799,0.17548,-3.99968,0.00535,0.00237,1.61263
104,-4.00643,0.17016,-3.99971,0.00539,0.00027,1.62993
105,-3.99533,0.17526,-3.99980,0.00527,0.00304,1.65077
106,-3.99566,0.17665,-3.99970,0.00530,0.00295,1.61238
107,-4.00184,0.17395,-3.99970,0.00530,0.00141,1.60946
108,-3.99616,0.16836,-3.99973,0.00529,0.00283,1.61823
109,-4.00185,0.17068,-3.99980,0.00529,0.00141,1.63466
110,-3.99971,0.16981,-3.99970,0.00524,0.00194,1.64691
111,-4.00561,0.17509,-3.99983,0.00531,0.00047,1.67408
112,-4.00215,0.16676,-3.99995,0.00529,0.00133,1.64267
113,-3.99284,0.17399,-3.99989,0.00535,0.00366,1.62464
114,-3.99978,0.17474,-3.99988,0.00535,0.00193,1.60897
115,-3.99878,0.17503,-3.99980,0.00533,0.00218,1.63228
116,-3.99919,0.16832,-4.00005,0.00499,0.00207,1.58321
117,-3.99769,0.17395,-4.00002,0.00500,0.00245,1.61475
118,-4.00204,0.16967,-4.00001,0.00500,0.00136,1.64764
119,-3.98966,0.17412,-3.99992,0.00513,0.00445,1.65311
120,-4.00337,0.16943,-3.99991,0.00513,0.00103,1.63131
121,-3.99403,0.17557,-3.99991,0.00514,0.00336,1.63512
122,-3.99997,0.17655,-3.99995,0.00513,0.00188,1.61924
123,-3.99988,0.17203,-3.99990,0.00512,0.00190,1.63890
124,-4.00823,0.16719,-4.00014,0.00522,0.00018,1.61932
125,-4.00456,0.16516,-4.00030,0.00524,0.00073,1.65104
126,-3.99767,0.16561,-4.00033,0.00521,0.00245,1.60969
127,-4.00167,0.17139,-4.00054,0.00505,0.00145,1.59418
128,-4.00594,0.17447,-4.00069,0.00510,0.00039,1.59320
129,-3.99732,0.17465,-4.00062,0.00512,0.00254,1.62313
130,-4.00544,0.17420,-4.00066,0.00515,0.00051,1.59687
131,-3.99286,0.17400,-4.00051,0.00526,0.00365,1.58372
132,-3.99227,0.17223,-4.00015,0.00520,0.00380,1.60624
133,-4.00201,0.17458,-4.00008,0.00515,0.00137,1.64562
134,-4.00825,0.17688,-4.00036,0.00521,0.00019,1.64939
135,-3.99651,0.16626,-4.00045,0.00510,0.00274,1.62956
136,-4.00831,0.17397,-4.00074,0.00513,0.00020,1.60445
137,-4.01198,0.16976,-4.00098,0.00537,0.00112,1.61627
138,-4.00282,0.16668,-4.00112,0.00532,0.00117,1.63272
139,-4.00054,0.17657,-4.00124,0.00524,0.00174,1.58353
140,-3.99895,0.17089,-4.00122,0.00525,0.00213,1.58706
141,-3.99922,0.17597,-4.00098,0.00506,0.00207,1.62802
142,-3.99749,0.17082,-4.00077,0.00499,0.00250,1.61443
143,-4.01435,0.17889,-4.00121,0.00519,0.00171,1.60118
144,-4.00998,0.17801,-4.00134,0.00533,0.00062,1.64684
145,-4.00456,0.17219,-4.00136,0.00534,0.00074,1.56448
146,-3.99481,0.16458,-4.00107,0.00530,0.00317,1.65506
147,-4.00107,0.17792,-4.00091,0.00517,0.00160,1.65065
148,-3.99555,0.17982,-4.00079,0.00522,0.00298,1.63193
149,-4.00701,0.17715,-4.00089,0.00529,0.00012,1.60337
150,-3.99072,0.17654,-4.00060,0.00544,0.00419,1.61586
151,-4.00333,0.17676,-4.00075,0.00541,0.00104,1.65267
152,-4.00497,0.17546,-4.00077,0.00542,0.00063,1.63359
153,-4.00130,0.17780,-4.00083,0.00541,0.00155,1.59169
154,-4.00079,0.16726,-4.00072,0.00535,0.00168,1.63992
155,-4.00725,0.17308,-4.00096,0.00537,0.00006,1.63456
156,-4.01075,0.17342,-4.00126,0.00548,0.00081,1.59684
157,-4.00740,0.17445,-4.00137,0.00555,0.00003,1.67090
158,-3.99477,0.17504,-4.00134,0.00558,0.00318,1.59697
159,-4.00614,0.17545,-4.00143,0.00562,0.00034,1.60310
160,-3.99723,0.18114,-4.00138,0.00565,0.00256,1.62122
161,-4.00557,0.17194,-4.00138,0.00564,0.00048,1.64410
162,-4.00617,0.17124,-4.00146,0.00568,0.00033,1.64981
163,-3.99539,0.17153,-4.00151,0.00562,0.00302,1.67390
164,-4.00461,0.17154,-4.00161,0.00563,0.00072,1.72738
165,-4.01381,0.17638,-4.00191,0.00587,0.00157,1.64955
166,-4.00080,0.17578,-4.00194,0.00585,0.00167,1.65412
167,-4.00020,0.17497,-4.00199,0.00583,0.00182,1.63305
168,-4.00032,0.17474,-4.00196,0.00583,0.00179,1.61212
169,-3.99960,0.17010,-4.00215,0.00558,0.00197,1.63987
170,-3.99637,0.17536,-4.00201,0.00563,0.00278,1.63919
171,-4.00109,0.17383,-4.00216,0.00552,0.00160,1.65837
172,-3.99998,0.18020,-4.00216,0.00552,0.00188,1.58724
173,-4.00882,0.17426,-4.00233,0.00558,0.00033,1.60105
174,-3.99888,0.17499,-4.00215,0.00554,0.00215,1.62290
175,-4.00080,0.17672,-4.00207,0.00553,0.00167,1.63444
176,-3.98582,0.16933,-4.00184,0.00595,0.00541,1.62069
177,-3.99013,0.16959,-4.00160,0.00617,0.00433,1.62310
178,-3.99907,0.17286,-4.00147,0.00615,0.00210,1.68332
179,-4.00155,0.17231,-4.00155,0.00612,0.00149,1.63303
180,-4.00061,0.17250,-4.00146,0.00610,0.00172,1.66225
181,-3.99479,0.17632,-4.00149,0.00605,0.00317,1.62295
182,-4.00210,0.17679,-4.00169,0.00591,0.00135,1.61437
183,-3.99623,0.17418,-4.00157,0.00596,0.00281,1.61862
184,-3.99531,0.17397,-4.00132,0.00594,0.00304,1.59216
185,-4.01060,0.17876,-4.00160,0.00604,0.00077,1.65264
186,-3.99832,0.17027,-4.00140,0.00598,0.00229,1.62457
187,-3.99457,0.16743,-4.00105,0.00586,0.00323,1.63001
188,-4.00534,0.16777,-4.00110,0.00588,0.00054,1.64035
189,-3.99551,0.16653,-4.00100,0.00594,0.00299,1.59285
190,-3.99289,0.16976,-4.00088,0.00604,0.00365,1.63408
191,-4.00441,0.17185,-4.00098,0.00605,0.00077,1.58682
192,-4.00665,0.17052,-4.00117,0.00608,0.00021,1.61627
193,-4.00016,0.16835,-4.00088,0.00578,0.00183,1.66358
194,-4.00640,0.16719,-4.00081,0.00569,0.00028,1.62890
195,-3.99473,0.16936,-4.00061,0.00573,0.00319,1.61519
196,-4.00224,0.17849,-4.00076,0.00567,0.00131,1.60749
197,-3.99464,0.17215,-4.00063,0.00574,0.00321,1.67347
198,-3.99892,0.17402,-4.00070,0.00570,0.00214,1.63641
199,-4.00116,0.17291,-4.00058,0.00563,0.00158,1.59183
200,-3.99850,0.17372,-4.00074,0.00546,0.00225,1.61918
201,-3.99326,0.17605,-4.00054,0.00554,0.00355,1.57950
202,-4.00740,0.17291,-4.00059,0.00559,0.00002,1.58967
203,-3.99818,0.17107,-4.00052,0.00560,0.00233,1.59404
204,-4.00779,0.17253,-4.00066,0.00569,0.00007,1.59557
