num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-35.46717,0.03005,0.07692,391.0,24.94597,-35.49241,0.07692,-35.49746,0.12245,-0.13657,0.97771,0.00187,0.98687,0.8731,0.8731,-0.988,0.988,0.0,0.00217,-5.0,8
1,-35.46178,0.037,0.17401,428.0,27.69586,-35.50372,0.17401,-35.49492,0.10586,-0.13971,0.97686,0.00169,0.98819,0.82711,0.82711,-0.98886,0.98886,0.0,0.0049,-5.0,8
2,-35.46602,0.03051,0.12967,458.0,30.28998,-35.49569,0.12967,-35.50765,0.42133,-0.13686,0.96429,0.00219,0.98319,0.8962,0.8962,-0.98657,0.98657,0.0,0.00365,-5.0,8
3,-35.45768,0.04277,0.16993,445.0,29.09173,-35.50455,0.16993,-35.49987,0.1922,-0.13714,0.97314,0.00213,0.98438,0.87235,0.87235,-0.98486,0.98486,0.0,0.00479,-5.0,8
4,-35.44443,0.04414,0.14963,405.0,26.16132,-35.49791,0.14963,-35.51678,0.31145,-0.14057,0.98457,0.00187,0.98687,0.85066,0.85066,-0.98571,0.98571,0.0,0.00422,-5.0,8
5,-35.448,0.02631,0.13381,689.0,44.29878,-35.4621,0.13381,-35.51938,0.71411,-0.13571,0.97114,0.00256,0.98206,0.85162,0.85162,-0.982,0.982,0.0,0.00377,-5.0,8
6,-35.45938,0.0388,0.09863,315.0,20.84679,-35.48046,0.09863,-35.50911,0.71135,-0.13857,0.978,0.00219,0.98419,0.84777,0.84777,-0.98543,0.98543,0.0,0.00278,-5.0,8
7,-35.47717,0.0251,0.12813,385.0,25.31128,-35.50595,0.12813,-35.5017,0.12311,-0.14057,0.98686,0.00138,0.99038,0.83649,0.83649,-0.99,0.99,0.0,0.00361,-5.0,8
8,-35.45058,0.03697,0.13729,372.0,24.00953,-35.48334,0.13729,-35.51208,0.30152,-0.13829,0.98114,0.00225,0.98425,0.85114,0.85114,-0.984,0.984,0.0,0.00387,-5.0,8
9,-35.46791,0.03135,0.17569,382.0,24.91419,-35.4997,0.17569,-35.49945,0.08674,-0.14029,0.98086,0.00156,0.98906,0.88947,0.88947,-0.99,0.99,0.0,0.00495,-5.0,8
0,-34.77789,0.03311,0.1002,391.0,25.3731,-34.80077,0.1002,-34.80336,0.13808,-0.136,0.976,0.00188,0.98688,0.8731,0.8731,-0.98829,0.98829,0.0,0.00288,-4.9,8
1,-34.77315,0.03229,0.13508,418.0,27.26071,-34.80867,0.13508,-34.81272,0.17577,-0.13829,0.97314,0.00175,0.98775,0.82711,0.82711,-0.98857,0.98857,0.0,0.00388,-4.9,8
2,-34.76452,0.03507,0.15562,423.0,27.72556,-34.81213,0.15562,-34.80587,0.13337,-0.13714,0.97657,0.00175,0.98775,0.8962,0.8962,-0.98943,0.98943,0.0,0.00447,-4.9,8
3,-34.76962,0.04145,0.15668,445.0,29.07425,-34.81841,0.15668,-34.81002,0.16454,-0.13686,0.97114,0.00219,0.98394,0.87235,0.87235,-0.98457,0.98457,0.0,0.0045,-4.9,8
4,-34.7605,0.04192,0.14553,405.0,26.48606,-34.80639,0.14553,-34.82555,0.30019,-0.14,0.984,0.002,0.986,0.85066,0.85066,-0.98486,0.98486,0.0,0.00418,-4.9,8
5,-34.77342,0.03321,0.02303,675.0,43.90047,-34.79805,0.02303,-34.78608,0.29908,-0.13857,0.97571,0.00169,0.98844,0.85162,0.85162,-0.98914,0.98914,0.0,0.00066,-4.9,8
6,-34.79852,0.01647,0.14807,338.0,22.5486,-34.81237,0.14807,-34.79721,0.54199,-0.13771,0.96857,0.0025,0.9835,0.84777,0.84777,-0.98457,0.98457,0.0,0.00425,-4.9,8
7,-34.79139,0.02069,0.15842,366.0,23.90639,-34.8163,0.15842,-34.80191,0.40261,-0.13457,0.97,0.00256,0.98231,0.83649,0.83649,-0.98314,0.98314,0.0,0.00455,-4.9,8
8,-34.75824,0.0375,0.09889,366.0,23.54926,-34.80345,0.09889,-34.81526,0.54692,-0.13514,0.96486,0.00244,0.98244,0.85114,0.85114,-0.984,0.984,0.0,0.00284,-4.9,8
9,-34.78271,0.02704,0.16517,394.0,25.36576,-34.81441,0.16517,-34.82503,0.40711,-0.13914,0.98371,0.00169,0.98744,0.88947,0.88947,-0.98771,0.98771,0.0,0.00474,-4.9,8
0,-34.08843,0.02677,0.1464,364.0,23.31699,-34.1293,0.1464,-34.13384,0.16207,-0.13514,0.96029,0.00306,0.97856,0.8731,0.8731,-0.97943,0.97943,0.0,0.00429,-4.8,8
1,-34.09312,0.02905,0.11971,418.0,26.91754,-34.12194,0.11971,-34.12463,0.15758,-0.13857,0.97286,0.00181,0.98731,0.82711,0.82711,-0.988,0.988,0.0,0.00351,-4.8,8
2,-34.08211,0.03353,0.12137,423.0,27.46889,-34.12454,0.12137,-34.12449,0.11397,-0.13714,0.97543,0.002,0.986,0.8962,0.8962,-0.98743,0.98743,0.0,0.00356,-4.8,8
3,-34.07411,0.04496,0.16973,446.0,28.87719,-34.12911,0.16973,-34.1132,0.30209,-0.13514,0.96543,0.00281,0.98056,0.87235,0.87235,-0.98171,0.98171,0.0,0.00497,-4.8,8
4,-34.08254,0.03694,0.12536,405.0,26.1039,-34.12317,0.12536,-34.12677,0.15906,-0.14057,0.98457,0.00188,0.98687,0.85066,0.85066,-0.98543,0.98543,0.0,0.00367,-4.8,8
5,-34.07217,0.03954,0.14931,623.0,40.36616,-34.10456,0.14931,-34.11975,0.3737,-0.13743,0.97686,0.00206,0.98556,0.85162,0.85162,-0.98686,0.98686,0.0,0.00438,-4.8,8
6,-34.10869,0.01872,0.12271,338.0,22.41551,-34.11883,0.12271,-34.09901,0.57456,-0.13714,0.96857,0.0025,0.9835,0.84777,0.84777,-0.98457,0.98457,0.0,0.0036,-4.8,8
7,-34.09983,0.02154,0.15678,330.0,21.7552,-34.12516,0.15678,-34.12247,0.12659,-0.13486,0.96571,0.00213,0.98438,0.83649,0.83649,-0.98743,0.98743,0.0,0.00459,-4.8,8
8,-34.08371,0.03215,0.10809,371.0,24.22619,-34.12384,0.10809,-34.12475,0.11728,-0.13571,0.96886,0.00231,0.98381,0.85114,0.85114,-0.98514,0.98514,0.0,0.00317,-4.8,8
9,-34.09551,0.02303,0.15229,387.0,25.33108,-34.11235,0.15229,-34.12143,0.13074,-0.13657,0.97029,0.002,0.986,0.88947,0.88947,-0.98714,0.98714,0.0,0.00446,-4.8,8
0,-33.403,0.02532,0.15059,357.0,23.49509,-33.43782,0.15059,-33.44019,0.23113,-0.13714,0.97257,0.00213,0.98438,0.8731,0.8731,-0.98571,0.98571,0.0,0.0045,-4.7,8
1,-33.41558,0.02334,0.11338,405.0,26.53607,-33.43682,0.11338,-33.42318,0.35989,-0.13771,0.96629,0.00287,0.98012,0.82711,0.82711,-0.98057,0.98057,0.0,0.00339,-4.7,8
2,-33.40024,0.03326,0.06753,407.0,26.29477,-33.4396,0.06753,-33.41191,0.45027,-0.13771,0.97371,0.003,0.982,0.8962,0.8962,-0.98257,0.98257,0.0,0.00202,-4.7,8
3,-33.40357,0.03094,0.13604,445.0,28.74021,-33.44002,0.13604,-33.44627,0.22137,-0.13743,0.96829,0.00269,0.98044,0.87235,0.87235,-0.98057,0.98057,0.0,0.00407,-4.7,8
4,-33.39119,0.03702,0.15832,399.0,25.68673,-33.44196,0.15832,-33.42061,0.41815,-0.13429,0.96857,0.00225,0.98275,0.85066,0.85066,-0.98429,0.98429,0.0,0.00473,-4.7,8
5,-33.37852,0.03603,0.15985,654.0,42.06155,-33.41061,0.15985,-33.42381,0.54952,-0.13429,0.95943,0.0025,0.9825,0.85162,0.85162,-0.98486,0.98486,0.0,0.00478,-4.7,8
6,-33.35876,0.06725,0.16212,287.0,18.99279,-33.40019,0.16212,-33.41978,0.64305,-0.13343,0.96543,0.00281,0.97831,0.84777,0.84777,-0.98171,0.98171,0.0,0.00485,-4.7,8
7,-33.40856,0.02982,0.13349,299.0,19.82152,-33.43678,0.13349,-33.43682,0.16424,-0.13714,0.97371,0.00237,0.98338,0.83649,0.83649,-0.984,0.984,0.0,0.00399,-4.7,8
8,-33.40784,0.0295,0.11954,371.0,24.25213,-33.43647,0.11954,-33.43684,0.12639,-0.13543,0.96571,0.00262,0.98162,0.85114,0.85114,-0.98314,0.98314,0.0,0.00358,-4.7,8
9,-33.39878,0.02747,0.14779,366.0,23.64491,-33.43464,0.14779,-33.41827,0.34069,-0.13657,0.96743,0.0025,0.98275,0.88947,0.88947,-0.98429,0.98429,0.0,0.00442,-4.7,8
0,-32.72038,0.02426,0.13832,357.0,23.20758,-32.74981,0.13832,-32.75217,0.20554,-0.13657,0.97029,0.00225,0.9835,0.8731,0.8731,-0.98486,0.98486,0.0,0.00422,-4.6,8
1,-32.72058,0.0231,0.11314,373.0,24.3423,-32.74781,0.11314,-32.74474,0.09777,-0.14029,0.982,0.00206,0.98556,0.82711,0.82711,-0.98543,0.98543,0.0,0.00345,-4.6,8
2,-32.7103,0.03055,0.1556,396.0,25.57673,-32.74957,0.1556,-32.72946,0.40654,-0.13743,0.96657,0.00219,0.98244,0.8962,0.8962,-0.98257,0.98257,0.0,0.00475,-4.6,8
3,-32.71187,0.02541,0.14982,426.0,27.51845,-32.74582,0.14982,-32.74205,0.10641,-0.13943,0.98514,0.00138,0.99038,0.87235,0.87235,-0.99029,0.99029,0.0,0.00458,-4.6,8
4,-32.71655,0.03192,0.09229,399.0,25.64283,-32.7517,0.09229,-32.73105,0.39222,-0.13371,0.96629,0.00238,0.98187,0.85066,0.85066,-0.98343,0.98343,0.0,0.00282,-4.6,8
5,-32.70374,0.03833,0.16255,623.0,40.05367,-32.7403,0.16255,-32.74058,0.1974,-0.138,0.97857,0.00206,0.98556,0.85162,0.85162,-0.98657,0.98657,0.0,0.00496,-4.6,8
6,-32.67859,0.06151,0.15437,287.0,18.89337,-32.71624,0.15437,-32.72952,0.58535,-0.13343,0.96543,0.00281,0.97831,0.84777,0.84777,-0.982,0.982,0.0,0.00472,-4.6,8
7,-32.727,0.01574,0.14948,328.0,21.13826,-32.74466,0.14948,-32.74238,0.24627,-0.13543,0.95771,0.003,0.978,0.83649,0.83649,-0.98086,0.98086,0.0,0.00457,-4.6,8
8,-32.71521,0.0322,0.12084,366.0,23.35487,-32.73269,0.12084,-32.75022,0.51783,-0.13571,0.962,0.00269,0.98069,0.85114,0.85114,-0.982,0.982,0.0,0.00369,-4.6,8
9,-32.71402,0.02418,0.13272,366.0,23.29136,-32.74902,0.13272,-32.73318,0.33041,-0.13629,0.96657,0.00269,0.98144,0.88947,0.88947,-0.98257,0.98257,0.0,0.00405,-4.6,8
0,-32.03637,0.02323,0.10649,357.0,23.0691,-32.06348,0.10649,-32.06599,0.17687,-0.13686,0.97,0.00231,0.98306,0.8731,0.8731,-0.98371,0.98371,0.0,0.00332,-4.5,8
1,-32.02868,0.02944,0.08374,370.0,23.87411,-32.05776,0.08374,-32.06289,0.26109,-0.13514,0.95629,0.00281,0.97881,0.82711,0.82711,-0.982,0.982,0.0,0.00261,-4.5,8
2,-32.0319,0.02444,0.13942,396.0,25.41657,-32.06256,0.13942,-32.03403,0.46447,-0.13771,0.96686,0.00213,0.98212,0.8962,0.8962,-0.982,0.982,0.0,0.00435,-4.5,8
3,-32.02434,0.02646,0.12007,417.0,26.58265,-32.06255,0.12007,-32.05808,0.14451,-0.13429,0.95657,0.00312,0.97737,0.87235,0.87235,-0.98086,0.98086,0.0,0.00374,-4.5,8
4,-32.03865,0.02122,0.14043,405.0,25.96418,-32.05665,0.14043,-32.05993,0.16659,-0.13943,0.97943,0.00225,0.98425,0.85066,0.85066,-0.98314,0.98314,0.0,0.00438,-4.5,8
5,-32.02274,0.03768,0.11388,729.0,46.93536,-32.05463,0.11388,-32.05166,0.07462,-0.13686,0.98371,0.00206,0.98556,0.85162,0.85162,-0.98686,0.98686,0.0,0.00355,-4.5,8
6,-32.04199,0.01376,0.15727,315.0,20.75316,-32.05243,0.15727,-32.03724,0.65702,-0.13829,0.97143,0.00288,0.97962,0.84777,0.84777,-0.98057,0.98057,0.0,0.00491,-4.5,8
7,-32.03881,0.01504,0.14179,328.0,21.31402,-32.05654,0.14179,-32.05422,0.23226,-0.13514,0.95743,0.00306,0.97756,0.83649,0.83649,-0.98057,0.98057,0.0,0.00442,-4.5,8
8,-32.03259,0.02692,0.15898,349.0,22.90108,-32.06121,0.15898,-32.05589,0.14663,-0.13943,0.98171,0.00175,0.98775,0.85114,0.85114,-0.98686,0.98686,0.0,0.00496,-4.5,8
9,-32.02795,0.02223,0.10417,367.0,23.62099,-32.06466,0.10417,-32.06223,0.08976,-0.13486,0.96229,0.003,0.979,0.88947,0.88947,-0.98,0.98,0.0,0.00325,-4.5,8
0,-31.35252,0.02082,0.1526,353.0,22.80644,-31.372,0.1526,-31.36088,0.48214,-0.134,0.96029,0.00281,0.97981,0.8731,0.8731,-0.98143,0.98143,0.0,0.00486,-4.4,8
1,-31.34932,0.02206,0.10293,357.0,23.30102,-31.36401,0.10293,-31.36071,0.28709,-0.13486,0.96171,0.00325,0.97825,0.82711,0.82711,-0.97914,0.97914,0.0,0.00328,-4.4,8
2,-31.34054,0.02624,0.12709,372.0,23.933,-31.3746,0.12709,-31.37418,0.16827,-0.13971,0.98086,0.00256,0.98131,0.8962,0.8962,-0.98143,0.98143,0.0,0.00405,-4.4,8
3,-31.31691,0.03398,0.13273,398.0,25.56004,-31.36647,0.13273,-31.36198,0.12674,-0.136,0.964,0.00225,0.98425,0.87235,0.87235,-0.98686,0.98686,0.0,0.00423,-4.4,8
4,-31.33288,0.03049,0.14273,377.0,24.40225,-31.3685,0.14273,-31.36587,0.06294,-0.13429,0.964,0.00263,0.98163,0.85066,0.85066,-0.98371,0.98371,0.0,0.00455,-4.4,8
5,-31.3324,0.03394,0.11619,671.0,43.02375,-31.36986,0.11619,-31.36099,0.28569,-0.13486,0.96743,0.0025,0.98275,0.85162,0.85162,-0.98371,0.98371,0.0,0.0037,-4.4,8
6,-31.35239,0.01372,0.15573,306.0,20.21463,-31.36498,0.15573,-31.3728,0.3783,-0.13229,0.942,0.00344,0.97619,0.84777,0.84777,-0.98,0.98,0.0,0.00497,-4.4,8
7,-31.35432,0.01524,0.09262,328.0,21.19739,-31.37101,0.09262,-31.36669,0.18474,-0.13429,0.95314,0.00325,0.97625,0.83649,0.83649,-0.97971,0.97971,0.0,0.00295,-4.4,8
8,-31.34721,0.02701,0.08216,350.0,22.72238,-31.37624,0.08216,-31.35501,0.32799,-0.13543,0.95714,0.00313,0.97762,0.85114,0.85114,-0.97886,0.97886,0.0,0.00262,-4.4,8
9,-31.3463,0.02034,0.11807,367.0,23.51762,-31.37758,0.11807,-31.37494,0.10375,-0.13514,0.962,0.00306,0.97856,0.88947,0.88947,-0.97943,0.97943,0.0,0.00376,-4.4,8
0,-30.66562,0.02066,0.14142,355.0,22.88755,-30.6813,0.14142,-30.68796,0.29475,-0.13514,0.96257,0.00244,0.98144,0.8731,0.8731,-0.984,0.984,0.0,0.00461,-4.3,8
1,-30.6632,0.02073,0.11316,355.0,23.087,-30.68478,0.11316,-30.68636,0.24028,-0.13571,0.96429,0.00319,0.97694,0.82711,0.82711,-0.97943,0.97943,0.0,0.00369,-4.3,8
2,-30.65713,0.02512,0.13344,370.0,23.79059,-30.68485,0.13344,-30.66453,0.42607,-0.13143,0.94743,0.00313,0.97662,0.8962,0.8962,-0.97943,0.97943,0.0,0.00435,-4.3,8
3,-30.63964,0.03206,0.10634,394.0,25.5508,-30.68125,0.10634,-30.66954,0.60247,-0.136,0.96857,0.00287,0.97962,0.87235,0.87235,-0.98114,0.98114,0.0,0.00347,-4.3,8
4,-30.65556,0.02436,0.09649,364.0,23.71846,-30.69,0.09649,-30.70848,0.43743,-0.138,0.966,0.00281,0.97881,0.85066,0.85066,-0.97971,0.97971,0.0,0.00314,-4.3,8
