Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J1,J2,Length
9,-11.01201,0.0043,0.05317,792,23.96357,-11.01855,0.05317,-11.02147,0.13033,-0.31267,-0.32467,0.01075,0.01075,0.99615,0.99615,-0.30867,0.30867,0,0.00483,-1,-4.8,4
0,-10.83799,0.00587,0.0535,534,17.00914,-10.84472,0.0535,-10.84339,0.11597,-0.31133,-0.31533,0.01425,0.01425,0.99674,0.99674,-0.304,0.304,0,0.00493,-1,-4.7,4
1,-10.84693,0.00516,0.04767,818,24.92109,-10.85175,0.04767,-10.85532,0.04714,-0.314,-0.318,0.01275,0.01275,0.99617,0.99617,-0.30467,0.30467,0,0.00439,-1,-4.7,4
2,-10.84118,0.0067,0.05101,641,20.22172,-10.85139,0.05101,-10.8505,0.12942,-0.32067,-0.31933,0.01225,0.01125,0.9978,0.9978,-0.29533,0.29533,0,0.0047,-1,-4.7,4
3,-10.84026,0.00668,0.05292,693,21.63348,-10.84937,0.05292,-10.85487,0.06347,-0.31533,-0.32067,0.01175,0.01175,0.99473,0.99473,-0.298,0.298,0,0.00488,-1,-4.7,4
4,-10.83827,0.0066,0.04274,696,22.29299,-10.84749,0.04274,-10.84613,0.15322,-0.31733,-0.32133,0.0115,0.0095,0.99524,0.99524,-0.30067,0.30067,0,0.00394,-1,-4.7,4
5,-10.84041,0.00644,0.05116,931,29.9273,-10.84852,0.05116,-10.85078,0.06716,-0.30533,-0.32667,0.013,0.013,0.99456,0.99456,-0.31,0.31,0,0.00472,-1,-4.7,4
6,-10.84032,0.00626,0.04543,776,23.32158,-10.84777,0.04543,-10.84805,0.13312,-0.31267,-0.31933,0.01525,0.01425,0.99362,0.99362,-0.28733,0.28733,0,0.00419,-1,-4.7,4
7,-10.83563,0.00607,0.05352,637,19.32226,-10.84677,0.05352,-10.84573,0.21995,-0.30733,-0.32333,0.01475,0.01475,0.99671,0.99671,-0.30267,0.30267,0,0.00493,-1,-4.7,4
8,-10.84152,0.00571,0.04777,636,20.27466,-10.85122,0.04777,-10.85244,0.09517,-0.31933,-0.322,0.01125,0.01125,0.99569,0.99569,-0.30267,0.30267,0,0.0044,-1,-4.7,4
9,-10.83965,0.0072,0.05235,883,26.96636,-10.84696,0.05235,-10.85468,0.06884,-0.312,-0.32133,0.014,0.014,0.99615,0.99615,-0.29067,0.29067,0,0.00483,-1,-4.7,4
0,-10.66335,0.00576,0.04966,461,14.76523,-10.66556,0.04966,-10.6647,0.04823,-0.30467,-0.32467,0.01275,0.01275,0.99674,0.99674,-0.30133,0.30133,0,0.00466,-1,-4.6,4
1,-10.65422,0.00574,0.04564,767,24.36128,-10.66296,0.04564,-10.66494,0.1085,-0.308,-0.31733,0.014,0.015,0.99617,0.99617,-0.296,0.296,0,0.00428,-1,-4.6,4
2,-10.65083,0.00696,0.05133,647,19.72465,-10.6594,0.05133,-10.6567,0.09542,-0.308,-0.30933,0.016,0.016,0.9978,0.9978,-0.28933,0.28933,0,0.00482,-1,-4.6,4
3,-10.65088,0.0063,0.03908,680,21.46379,-10.65958,0.03908,-10.66617,0.0423,-0.31667,-0.32067,0.00925,0.00925,0.99473,0.99473,-0.302,0.302,0,0.00367,-1,-4.6,4
4,-10.64786,0.0058,0.04759,643,20.62737,-10.65776,0.04759,-10.65562,0.14431,-0.30933,-0.31067,0.016,0.015,0.99524,0.99524,-0.29667,0.29667,0,0.00447,-1,-4.6,4
5,-10.64946,0.00741,0.0491,871,27.32801,-10.65946,0.0491,-10.66161,0.13403,-0.30933,-0.31333,0.0155,0.0165,0.99456,0.99456,-0.29667,0.29667,0,0.00461,-1,-4.6,4
6,-10.64835,0.0065,0.04512,759,24.1183,-10.65983,0.04512,-10.65594,0.22154,-0.31733,-0.31733,0.0155,0.0145,0.99362,0.99362,-0.29333,0.29333,0,0.00423,-1,-4.6,4
7,-10.64808,0.00604,0.04802,636,20.68419,-10.65896,0.04802,-10.65894,0.1626,-0.31667,-0.31667,0.01275,0.01075,0.99671,0.99671,-0.298,0.298,0,0.0045,-1,-4.6,4
8,-10.65241,0.00549,0.04995,624,20.776,-10.66251,0.04995,-10.66068,0.21358,-0.314,-0.31533,0.01425,0.01425,0.99569,0.99569,-0.292,0.292,0,0.00468,-1,-4.6,4
9,-10.65119,0.00559,0.05199,842,28.30391,-10.66019,0.05199,-10.6658,0.06696,-0.31533,-0.31933,0.01325,0.01325,0.99615,0.99615,-0.292,0.292,0,0.00488,-1,-4.6,4
0,-10.4587,0.00544,0.05107,531,18.01945,-10.46424,0.05107,-10.47326,0.07254,-0.30933,-0.32133,0.013,0.012,0.99674,0.99674,-0.29533,0.29533,0,0.00488,-1,-4.5,4
1,-10.46305,0.00742,0.0451,702,22.46115,-10.47221,0.0451,-10.48116,0.0974,-0.31867,-0.316,0.013,0.014,0.99617,0.99617,-0.29467,0.29467,0,0.00431,-1,-4.5,4
2,-10.46372,0.00624,0.0455,616,20.76648,-10.47212,0.0455,-10.48023,0.11047,-0.31733,-0.312,0.013,0.014,0.9978,0.9978,-0.29267,0.29267,0,0.00434,-1,-4.5,4
3,-10.45615,0.00751,0.05146,655,21.96077,-10.47038,0.05146,-10.4653,0.13623,-0.308,-0.32533,0.0125,0.0115,0.99473,0.99473,-0.28733,0.28733,0,0.00491,-1,-4.5,4
4,-10.45882,0.00591,0.04799,643,21.34333,-10.46643,0.04799,-10.46705,0.13709,-0.31,-0.30867,0.01575,0.01475,0.99524,0.99524,-0.29667,0.29667,0,0.00458,-1,-4.5,4
5,-10.45933,0.00733,0.05079,866,27.21809,-10.4688,0.05079,-10.47106,0.09795,-0.312,-0.32133,0.0125,0.0115,0.99456,0.99456,-0.296,0.296,0,0.00485,-1,-4.5,4
6,-10.46188,0.00525,0.04819,712,23.10332,-10.46965,0.04819,-10.47998,0.08505,-0.316,-0.312,0.0125,0.0135,0.99362,0.99362,-0.29667,0.29667,0,0.0046,-1,-4.5,4
7,-10.45987,0.0068,0.04688,617,19.91861,-10.46972,0.04688,-10.47583,0.09944,-0.31667,-0.32467,0.01125,0.01225,0.99671,0.99671,-0.298,0.298,0,0.00448,-1,-4.5,4
8,-10.46374,0.00599,0.04838,612,19.8198,-10.47126,0.04838,-10.46816,0.16398,-0.31,-0.31933,0.01375,0.01175,0.99569,0.99569,-0.30067,0.30067,0,0.00462,-1,-4.5,4
9,-10.45909,0.00707,0.04906,825,26.54339,-10.47296,0.04906,-10.45907,0.22915,-0.31067,-0.30933,0.018,0.015,0.99615,0.99615,-0.28133,0.28133,0,0.00468,-1,-4.5,4
0,-10.27159,0.00659,0.04718,506,16.21656,-10.27783,0.04718,-10.28894,0.1262,-0.30867,-0.31,0.01425,0.01525,0.99674,0.99674,-0.29333,0.29333,0,0.00459,-1,-4.4,4
1,-10.27671,0.00592,0.04501,685,22.46782,-10.28639,0.04501,-10.2854,0.11996,-0.30467,-0.32067,0.01575,0.01475,0.99617,0.99617,-0.29333,0.29333,0,0.00438,-1,-4.4,4
2,-10.27203,0.00686,0.04492,542,17.9059,-10.28347,0.04492,-10.28718,0.06636,-0.31467,-0.316,0.015,0.015,0.9978,0.9978,-0.292,0.292,0,0.00437,-1,-4.4,4
3,-10.26851,0.0068,0.05115,635,19.97693,-10.27961,0.05115,-10.28184,0.093,-0.31467,-0.316,0.0125,0.0125,0.99473,0.99473,-0.296,0.296,0,0.00498,-1,-4.4,4
4,-10.26958,0.00724,0.05061,615,19.48821,-10.28129,0.05061,-10.28914,0.06217,-0.31533,-0.31533,0.01325,0.01325,0.99524,0.99524,-0.28933,0.28933,0,0.00492,-1,-4.4,4
5,-10.27095,0.00793,0.04644,874,28.44338,-10.27832,0.04644,-10.28285,0.08874,-0.31067,-0.316,0.0135,0.0125,0.99456,0.99456,-0.304,0.304,0,0.00452,-1,-4.4,4
6,-10.27054,0.00588,0.04819,681,20.63651,-10.27896,0.04819,-10.2888,0.0525,-0.32067,-0.322,0.01075,0.01075,0.99362,0.99362,-0.29467,0.29467,0,0.00469,-1,-4.4,4
7,-10.2713,0.007,0.05121,606,18.85733,-10.27964,0.05121,-10.28828,0.0604,-0.31133,-0.31267,0.01725,0.01725,0.99671,0.99671,-0.292,0.292,0,0.00498,-1,-4.4,4
8,-10.27586,0.00608,0.03962,574,17.47903,-10.28453,0.03962,-10.28822,0.05931,-0.316,-0.31467,0.014,0.014,0.99569,0.99569,-0.28667,0.28667,0,0.00385,-1,-4.4,4
9,-10.27541,0.0075,0.04835,767,23.58303,-10.28636,0.04835,-10.29346,0.09393,-0.306,-0.30333,0.01525,0.01625,0.99615,0.99615,-0.28867,0.28867,0,0.0047,-1,-4.4,4
0,-10.0828,0.00604,0.04778,495,15.44935,-10.09066,0.04778,-10.09663,0.06218,-0.312,-0.32133,0.013,0.013,0.99674,0.99674,-0.29133,0.29133,0,0.00474,-1,-4.3,4
1,-10.08782,0.00661,0.04889,655,21.29056,-10.1002,0.04889,-10.10181,0.05716,-0.30867,-0.32467,0.01325,0.01325,0.99617,0.99617,-0.29867,0.29867,0,0.00484,-1,-4.3,4
2,-10.0851,0.00732,0.04714,510,16.02486,-10.09788,0.04714,-10.10406,0.11377,-0.31,-0.318,0.01425,0.01525,0.9978,0.9978,-0.29267,0.29267,0,0.00467,-1,-4.3,4
3,-10.08078,0.0077,0.04458,624,19.358,-10.08939,0.04458,-10.08953,0.13297,-0.3,-0.32533,0.0185,0.0165,0.99473,0.99473,-0.296,0.296,0,0.00442,-1,-4.3,4
4,-10.08394,0.00544,0.03861,590,18.24199,-10.09441,0.03861,-10.09772,0.04153,-0.30667,-0.32267,0.0145,0.0145,0.99524,0.99524,-0.29933,0.29933,0,0.00382,-1,-4.3,4
5,-10.08682,0.00753,0.0208,851,26.10456,-10.09592,0.0208,-10.10299,0.11829,-0.30267,-0.316,0.0185,0.0195,0.99456,0.99456,-0.286,0.286,0,0.00206,-1,-4.3,4
