num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
8,-65.19087,0.01696,0.3045,1219.0,176.38031,-65.19582,0.3045,-65.17486,0.79315,-0.0008,-0.3904,0.00897,0.14503,0.001,0.001,-0.8504,0.8504,0.0,0.00467,-4.8,16
9,-71.89272,1.56607,0.33065,617.0,90.32295,-72.7409,0.33065,-72.78873,0.92082,-0.06347,0.97013,0.001,0.9865,0.0005,0.0005,-0.988,0.988,0.0,0.00455,-4.8,16
0,-71.44186,0.01987,0.30661,142.0,20.70311,-71.44628,0.30661,-71.46886,0.47945,-0.06427,0.96827,0.00094,0.98644,0.00088,0.00088,-0.98707,0.98707,0.0,0.00429,-4.7,16
1,-71.44209,0.02503,0.35107,347.0,49.77613,-71.45542,0.35107,-71.44453,0.42113,-0.06587,0.98693,0.00097,0.98697,0.00175,0.00175,-0.98707,0.98707,0.0,0.00491,-4.7,16
2,-71.44036,0.02213,0.33018,206.0,29.51115,-71.46608,0.33018,-71.45592,0.38772,-0.06267,0.97467,0.001,0.98506,0.00194,0.00194,-0.98693,0.98693,0.0,0.00462,-4.7,16
3,-63.95885,0.02278,0.31453,1912.0,278.04442,-63.9859,0.31453,-63.97125,0.60523,-0.0004,-0.1428,0.00861,0.07655,0.00075,0.00075,-0.8536,0.8536,0.0,0.00492,-4.7,16
4,-69.98044,2.22417,0.35198,457.0,66.39535,-71.2561,0.35198,-71.23311,0.44936,-0.06253,0.94733,0.00086,0.98623,0.00124,0.00124,-0.9884,0.9884,0.0,0.00494,-4.7,16
5,-71.44011,0.0217,0.33517,445.0,62.92162,-71.4621,0.33517,-71.46856,0.39777,-0.06453,0.9752,0.00097,0.98597,0.00075,0.00075,-0.98627,0.98627,0.0,0.00469,-4.7,16
6,-63.95198,0.02062,0.30708,1697.0,246.00614,-63.97519,0.30708,-63.96963,0.81848,-0.00413,0.20227,0.0083,0.14398,0.00125,0.00125,-0.8552,0.8552,0.0,0.0048,-4.7,16
7,-63.95904,0.01941,0.2802,2686.0,386.37974,-63.97439,0.2802,-63.94668,0.70675,-0.00333,-0.22467,0.00808,0.09308,0.0015,0.0015,-0.85467,0.85467,0.0,0.00438,-4.7,16
