Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J,Length
0,-14.41145,0.01388,0.06645,305,8.76175,-14.42414,0.06645,-14.40165,0.54924,-0.322,0.97133,0.00725,0.98025,0.99674,0.99674,-0.97667,0.97667,0,0.00461,-4.7,4
1,-14.41081,0.01192,0.06537,403,11.66751,-14.42018,0.06537,-14.42507,0.09797,-0.31733,0.97467,0.006,0.982,0.99617,0.99617,-0.98067,0.98067,0,0.00453,-4.7,4
2,-14.41355,0.01416,0.05895,361,10.50606,-14.42492,0.05895,-14.40928,0.52687,-0.32333,0.98333,0.00475,0.98775,0.9978,0.9978,-0.98533,0.98533,0,0.00409,-4.7,4
3,-14.41147,0.01532,0.05468,292,8.52097,-14.42615,0.05468,-14.43139,0.08203,-0.31533,0.95933,0.00825,0.97525,0.99473,0.99473,-0.97267,0.97267,0,0.00379,-4.7,4
4,-14.41175,0.0143,0.05666,539,15.47501,-14.42646,0.05666,-14.41149,0.35358,-0.31867,0.96667,0.007,0.977,0.99524,0.99524,-0.974,0.974,0,0.00393,-4.7,4
5,-14.41308,0.01293,0.0538,413,12.1564,-14.42671,0.0538,-14.42851,0.05513,-0.31467,0.96133,0.009,0.973,0.99456,0.99456,-0.97,0.97,0,0.00373,-4.7,4
6,-14.41313,0.01124,0.06963,489,14.03758,-14.42581,0.06963,-14.4101,0.50484,-0.31533,0.96067,0.00775,0.97875,0.99362,0.99362,-0.97733,0.97733,0,0.00483,-4.7,4
7,-14.41677,0.00968,0.06837,448,13.01278,-14.42693,0.06837,-14.39116,0.72818,-0.31267,0.95533,0.01075,0.97175,0.99671,0.99671,-0.968,0.968,0,0.00474,-4.7,4
8,-14.41175,0.01475,0.05266,556,15.79773,-14.42154,0.05266,-14.41526,0.26227,-0.324,0.97733,0.005,0.984,0.99569,0.99569,-0.98267,0.98267,0,0.00365,-4.7,4
9,-14.41193,0.01405,0.04792,346,10.10369,-14.42329,0.04792,-14.41022,0.3713,-0.32067,0.96067,0.00675,0.97675,0.99615,0.99615,-0.97533,0.97533,0,0.00332,-4.7,4
0,-14.11938,0.01393,0.0641,305,8.86429,-14.13234,0.0641,-14.10958,0.53405,-0.32133,0.97067,0.0075,0.9795,0.99674,0.99674,-0.976,0.976,0,0.00454,-4.6,4
1,-14.11738,0.01194,0.06232,403,11.49806,-14.12953,0.06232,-14.13349,0.0888,-0.316,0.972,0.0065,0.9805,0.99617,0.99617,-0.97867,0.97867,0,0.00441,-4.6,4
