num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-156.60263,0.05065,0.70568,638.0,468.25391,-156.66956,0.70568,-156.60411,1.18323,-0.03097,0.96942,0.00032,0.98827,0.0,0.0,-0.99013,0.99013,0.0,,-5.0,32
1,-148.50807,0.04377,0.7302,708.0,508.25049,-148.50485,0.7302,-148.55569,0.69388,-6e-05,0.30019,0.00225,0.1194,0.0,0.0,-0.92568,0.92568,0.0,,-5.0,32
2,-148.51082,0.04653,0.71093,716.0,506.60088,-148.58566,0.71093,-148.5289,1.00734,-0.00058,0.00523,0.00224,0.01416,0.0,0.0,-0.92639,0.92639,0.0,,-5.0,32
3,-156.62932,0.04523,0.7466,715.0,502.75608,-156.64711,0.7466,-156.66896,0.83845,-0.03135,0.97084,0.00033,0.98842,0.0,0.0,-0.98968,0.98968,0.0,,-5.0,32
4,-156.62375,0.06012,0.70378,703.0,482.39322,-156.68147,0.70378,-156.62729,1.02672,-0.03116,0.97865,0.00031,0.98857,0.0,0.0,-0.98948,0.98948,0.0,,-5.0,32
5,-156.61522,0.05358,0.66902,730.0,505.96641,-156.66447,0.66902,-156.64113,0.82981,-0.03097,0.97961,0.00027,0.99084,0.0,0.0,-0.99135,0.99135,0.0,,-5.0,32
6,-156.63557,0.05168,0.68009,759.0,521.67976,-156.65225,0.68009,-156.6064,1.16616,-0.0309,0.97594,0.00027,0.99052,0.0,0.0,-0.9911,0.9911,0.0,,-5.0,32
7,-156.62561,0.04705,0.76597,792.0,536.94562,-156.6595,0.76597,-156.63945,0.64755,-0.03116,0.97129,0.00032,0.98949,0.0,0.0,-0.99071,0.99071,0.0,,-5.0,32
8,-156.61737,0.04081,0.70677,705.0,480.63383,-156.66603,0.70677,-156.69701,1.1177,-0.03103,0.97465,0.00036,0.98832,0.0,0.0,-0.98929,0.98929,0.0,,-5.0,32
9,-156.604,0.04873,0.7046,717.0,502.91014,-156.67967,0.7046,-156.56676,1.50521,-0.03103,0.97555,0.00041,0.98668,0.0,0.0,-0.988,0.988,0.0,,-5.0,32
0,-153.5627,0.0433,0.70039,755.0,556.60215,-153.60416,0.70039,-153.61757,0.74968,-0.03032,0.97058,0.00035,0.98841,0.0,0.0,-0.98916,0.98916,0.0,,-4.9,32
1,-153.54463,0.03636,0.75726,708.0,527.77064,-153.53694,0.75726,-153.60506,1.07668,-0.03116,0.97348,0.0003,0.9893,0.0,0.0,-0.99032,0.99032,0.0,,-4.9,32
2,-145.68394,0.04493,0.66917,818.0,614.24722,-145.69557,0.66917,-145.64258,0.9804,-0.00142,-0.09523,0.00216,0.01578,0.0,0.0,-0.92445,0.92445,0.0,,-4.9,32
3,-145.68961,0.03359,0.71755,816.0,601.01124,-145.70662,0.71755,-145.67989,1.37173,-0.0011,-0.06961,0.00228,0.01401,0.0,0.0,-0.92271,0.92271,0.0,,-4.9,32
4,-153.5683,0.04119,0.66023,718.0,529.38607,-153.59309,0.66023,-153.54095,1.29943,-0.03084,0.97265,0.00045,0.98463,0.0,0.0,-0.98587,0.98587,0.0,,-4.9,32
5,-153.55728,0.06112,0.71868,760.0,562.74115,-153.58408,0.71868,-153.56551,0.91583,-0.03123,0.97329,0.0003,0.98917,0.0,0.0,-0.99058,0.99058,0.0,,-4.9,32
6,-153.56148,0.05664,0.75925,699.0,519.04571,-153.65799,0.75925,-153.59044,1.09878,-0.03116,0.97787,0.00033,0.98761,0.0,0.0,-0.9891,0.9891,0.0,,-4.9,32
7,-145.645,0.03388,0.63601,795.0,593.67173,-145.66785,0.63601,-145.61156,1.35659,0.00026,0.58297,0.00236,0.37427,0.0,0.0,-0.92503,0.92503,0.0,,-4.9,32
8,-145.63017,0.04954,0.66283,779.0,580.41352,-145.68401,0.66283,-145.68945,1.44955,-0.00058,0.00729,0.00232,0.01195,0.0,0.0,-0.92439,0.92439,0.0,,-4.9,32
9,-153.53378,0.04203,0.58168,716.0,561.61865,-153.5668,0.58168,-153.59402,0.96143,-0.03135,0.97884,0.00031,0.98939,0.0,0.0,-0.99039,0.99039,0.0,,-4.9,32
0,-150.4944,0.03871,0.70727,724.0,551.40757,-150.49419,0.70727,-150.5406,1.43892,-0.0311,0.96568,0.0003,0.98919,0.0,0.0,-0.99097,0.99097,0.0,,-4.8,32
